CaseID$,CNTYNAME,STATE,FIPST,FIPCNT,ADVCHBD,SEVADV,ALLOTHER,AMERBAPA,ARMENIAN,ASSEMBGD,CPRIMBAP,FREEWBAP,GENBAP,NEGROBAP,NBAPT,PRIMBAP,REGBAP,SOUTHBAP,UNITBAP,UNBAPAM,DUNKCON,DUNKPROG,BUDDHIST,CHCHRIST,CHCHRSCI,CHGOD,CHGODCH,CHGODNA,NAZARENE,CHBRETH,CONGREG,DISCIPLE,EASTORTH,RUSSORTH,EVANREF,EVANCHR,EVANCONG,EVANAUG,EVANUNIT,FEDERATE,FRIENFOU,FRIENORT,GRKORTHH,JEWISH,CJCLDS,LDSREORG,LUTHAMER,LUTHAUG,LUTHSOUM,LUTHFREE,LUTHWISC,LUTHNORW,LUTHMO,LUTHUNDA,LUTHUNIT,LUTHUNAM,MENNON,AME,AMEZION,COLMETH,METHEPIS,METHEPS,METHPROT,POLISH,CUMBPRES,PRESBUS,PRESBUSA,UNITPRES,PROTEPIS,CHRREF,REFAMER,CATHOLIC,SALVARMY,SCANDEV,UNITAR,UNTBRCHR,UNIVER,REFEPISC
1504,DUNKLIN,MISSOURI,29,35,0,0,331,0,0,369,0,0,972,245,0,0,0,1084,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,1534,0,0,0,328,0,0,0,0,0,716,0,0,0,0,0,0
1505,FRANKLIN,MISSOURI,29,36,0,0,561,0,0,347,0,0,0,125,0,0,0,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,0,0,0,0,86,0,0,758,1009,0,0,0,179,605,0,29,0,0,7283,0,0,0,0,0,0
1506,GASCONADE,MISSOURI,29,37,0,0,19,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,152,120,0,0,0,0,237,0,0,0,0,2359,0,0,0,0,0,0
1507,GENTRY,MISSOURI,29,38,0,0,149,0,0,0,0,0,0,0,0,0,0,1930,0,0,0,0,0,224,0,0,0,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,400,0,0,0,0,336,0,0,0,0,303,0,0,0,0,0,0
1508,GREENE,MISSOURI,29,39,0,0,1437,0,0,1131,0,0,0,6,0,0,0,4615,0,0,0,0,0,370,0,0,0,0,0,0,489,3884,0,0,121,0,0,0,0,0,0,0,0,285,0,231,0,0,0,0,0,0,266,0,0,0,0,239,0,0,2684,3908,0,0,0,320,2790,0,804,0,0,2103,0,0,0,0,0,0
1509,GRUNDY,MISSOURI,29,40,0,0,352,0,0,394,0,0,0,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,317,0,0,0,0,104,0,27,0,0,164,0,0,0,0,0,0
1510,HARRISON,MISSOURI,29,41,0,0,577,0,0,78,0,0,0,0,0,0,0,904,0,0,0,0,0,143,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1008,104,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
1511,HENRY/RIVES,MISSOURI,29,42,0,0,261,0,0,0,0,0,0,230,0,0,0,3109,0,0,0,0,0,18,0,0,0,0,0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1044,1378,0,0,0,50,425,0,9,0,0,1296,0,0,0,0,0,0
1512,HICKORY,MISSOURI,29,43,0,0,195,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,160,659,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,HOLT,MISSOURI,29,44,0,0,471,0,0,0,0,0,0,22,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,362,0,0,0,0,0,0,0,774,473,0,0,0,0,382,0,0,0,0,65,0,0,0,0,0,0
